;PauliCoefficients;PauliStrings;Qbits
0;0.5000000000000001;IIIII;[0, 1, 2, 3, 4]
1;-1.055724993383159e-06;IIIIX;[0, 1, 2, 3, 4]
2;7.869442316638132e-07;IIIIY;[0, 1, 2, 3, 4]
3;4.453635793488786e-10;IIIIZ;[0, 1, 2, 3, 4]
4;1.5054848315236222e-06;IIIXI;[0, 1, 2, 3, 4]
5;-2.1325622164079665e-06;IIIXX;[0, 1, 2, 3, 4]
6;-2.4431599558990364e-06;IIIXY;[0, 1, 2, 3, 4]
7;3.0315505661513906e-06;IIIXZ;[0, 1, 2, 3, 4]
8;-1.1326363596976183e-07;IIIYI;[0, 1, 2, 3, 4]
9;-7.697883794270298e-07;IIIYX;[0, 1, 2, 3, 4]
10;-3.4177159440941517e-06;IIIYY;[0, 1, 2, 3, 4]
11;-2.270806723423703e-06;IIIYZ;[0, 1, 2, 3, 4]
12;7.946654348063575e-07;IIIZI;[0, 1, 2, 3, 4]
13;-1.4183343053548618e-09;IIIZX;[0, 1, 2, 3, 4]
14;2.336872737262654e-09;IIIZY;[0, 1, 2, 3, 4]
15;9.277117117567624e-08;IIIZZ;[0, 1, 2, 3, 4]
16;-0.050489764415463725;IIXII;[0, 1, 2, 3, 4]
17;1.5870204935366715e-06;IIXIX;[0, 1, 2, 3, 4]
18;-6.716709084045247e-07;IIXIY;[0, 1, 2, 3, 4]
19;2.4549112029835507e-06;IIXIZ;[0, 1, 2, 3, 4]
20;-7.4238638949320444e-06;IIXXI;[0, 1, 2, 3, 4]
21;-4.405674185111688e-06;IIXXX;[0, 1, 2, 3, 4]
22;5.373062141686288e-06;IIXXY;[0, 1, 2, 3, 4]
23;0.00409815779225545;IIXXZ;[0, 1, 2, 3, 4]
24;6.211667622746039e-06;IIXYI;[0, 1, 2, 3, 4]
25;-1.6398425464288648e-06;IIXYX;[0, 1, 2, 3, 4]
26;-4.469168607547484e-06;IIXYY;[0, 1, 2, 3, 4]
27;0.007112447873376015;IIXYZ;[0, 1, 2, 3, 4]
28;2.0666336296420312e-06;IIXZI;[0, 1, 2, 3, 4]
29;-1.2584260932432003e-07;IIXZX;[0, 1, 2, 3, 4]
30;-3.304255924709155e-06;IIXZY;[0, 1, 2, 3, 4]
31;2.7306969510067225e-06;IIXZZ;[0, 1, 2, 3, 4]
32;-0.00821215113611571;IIYII;[0, 1, 2, 3, 4]
33;-4.104973270820641e-06;IIYIX;[0, 1, 2, 3, 4]
34;-2.842216246601897e-07;IIYIY;[0, 1, 2, 3, 4]
35;-5.374191083240207e-06;IIYIZ;[0, 1, 2, 3, 4]
36;2.206239264074955e-06;IIYXI;[0, 1, 2, 3, 4]
37;1.2266496624879104e-06;IIYXX;[0, 1, 2, 3, 4]
38;2.671244467166588e-06;IIYXY;[0, 1, 2, 3, 4]
39;-0.02524302382594515;IIYXZ;[0, 1, 2, 3, 4]
40;-5.509798010350838e-06;IIYYI;[0, 1, 2, 3, 4]
41;-3.550953188775138e-06;IIYYX;[0, 1, 2, 3, 4]
42;3.4065935253616007e-06;IIYYY;[0, 1, 2, 3, 4]
43;-0.043730260738781106;IIYYZ;[0, 1, 2, 3, 4]
44;6.250066899198166e-06;IIYZI;[0, 1, 2, 3, 4]
45;-2.38213435067038e-06;IIYZX;[0, 1, 2, 3, 4]
46;-5.162514656689254e-06;IIYZY;[0, 1, 2, 3, 4]
47;5.298362206104454e-06;IIYZZ;[0, 1, 2, 3, 4]
48;-0.34150613940110564;IIZII;[0, 1, 2, 3, 4]
49;2.7573433439201853e-06;IIZIX;[0, 1, 2, 3, 4]
50;-1.804190797460817e-06;IIZIY;[0, 1, 2, 3, 4]
51;1.3278240129852015e-06;IIZIZ;[0, 1, 2, 3, 4]
52;-5.768050290603025e-07;IIZXI;[0, 1, 2, 3, 4]
53;9.155570149241592e-07;IIZXX;[0, 1, 2, 3, 4]
54;-5.096143701638399e-07;IIZXY;[0, 1, 2, 3, 4]
55;-1.2191525317400628e-06;IIZXZ;[0, 1, 2, 3, 4]
